time_iso8601,stars_cumulative
2020-08-16 00:00:00+00:00,2010
2020-08-17 00:00:00+00:00,2015
2020-08-18 00:00:00+00:00,2016
2020-08-19 00:00:00+00:00,2017
2020-08-21 00:00:00+00:00,2021
2020-08-22 00:00:00+00:00,2023
2020-08-24 00:00:00+00:00,2050
2020-08-25 00:00:00+00:00,2070
2020-08-26 00:00:00+00:00,2082
2020-08-27 00:00:00+00:00,2089
2020-08-28 00:00:00+00:00,2091
2020-08-29 00:00:00+00:00,2093
2020-08-31 00:00:00+00:00,2100
2020-09-01 00:00:00+00:00,2107
2020-09-02 00:00:00+00:00,2112
2020-09-03 00:00:00+00:00,2113
2020-09-05 00:00:00+00:00,2114
2020-09-06 00:00:00+00:00,2115
2020-09-07 00:00:00+00:00,2118
2020-09-08 00:00:00+00:00,2120
2020-09-11 00:00:00+00:00,2121
2020-09-12 00:00:00+00:00,2122
2020-09-13 00:00:00+00:00,2123
2020-09-14 00:00:00+00:00,2125
2020-09-15 00:00:00+00:00,2128
2020-09-16 00:00:00+00:00,2129
2020-09-17 00:00:00+00:00,2131
2020-09-18 00:00:00+00:00,2133
2020-09-19 00:00:00+00:00,2136
2020-09-21 00:00:00+00:00,2137
2020-09-22 00:00:00+00:00,2138
2020-09-23 00:00:00+00:00,2140
2020-09-24 00:00:00+00:00,2145
2020-09-25 00:00:00+00:00,2153
2020-09-26 00:00:00+00:00,2156
2020-09-27 00:00:00+00:00,2161
2020-09-28 00:00:00+00:00,2162
2020-09-29 00:00:00+00:00,2164
2020-09-30 00:00:00+00:00,2177
2020-10-01 00:00:00+00:00,2178
2020-10-03 00:00:00+00:00,2179
2020-10-08 00:00:00+00:00,2180
2020-10-09 00:00:00+00:00,2184
2020-10-10 00:00:00+00:00,2186
2020-10-11 00:00:00+00:00,2187
2020-10-12 00:00:00+00:00,2189
2020-10-13 00:00:00+00:00,2190
2020-10-14 00:00:00+00:00,2192
2020-10-15 00:00:00+00:00,2194
2020-10-16 00:00:00+00:00,2195
2020-10-18 00:00:00+00:00,2196
2020-10-19 00:00:00+00:00,2198
2020-10-20 00:00:00+00:00,2199
2020-10-21 00:00:00+00:00,2201
2020-10-22 00:00:00+00:00,2202
2020-10-23 00:00:00+00:00,2203
2020-10-26 00:00:00+00:00,2204
2020-10-29 00:00:00+00:00,2205
2020-10-30 00:00:00+00:00,2207
2020-10-31 00:00:00+00:00,2208
2020-11-01 00:00:00+00:00,2209
2020-11-02 00:00:00+00:00,2211
2020-11-03 00:00:00+00:00,2215
2020-11-04 00:00:00+00:00,2219
2020-11-05 00:00:00+00:00,2222
2020-11-07 00:00:00+00:00,2223
2020-11-08 00:00:00+00:00,2224
2020-11-09 00:00:00+00:00,2226
2020-11-10 00:00:00+00:00,2229
2020-11-12 00:00:00+00:00,2231
2020-11-13 00:00:00+00:00,2235
2020-11-16 00:00:00+00:00,2236
2020-11-19 00:00:00+00:00,2237
